"","date","borough","syndrome","Ages 0-4 years","Ages 18-64 years","Ages 5-17 years","Ages 65+ years","All age groups","o65","u5","dow","epiyr","jul1.date","day.index"
"3496",2017-05-14,"Citywide","Respiratory",195,489,165,211,1060,211,195,"Sunday",2016,2016-07-01,317
"3503",2017-05-15,"Citywide","Respiratory",234,734,258,354,1580,354,234,"Monday",2016,2016-07-01,318
"3510",2017-05-16,"Citywide","Respiratory",188,663,220,314,1385,314,188,"Tuesday",2016,2016-07-01,319
"3517",2017-05-17,"Citywide","Respiratory",183,640,166,320,1309,320,183,"Wednesday",2016,2016-07-01,320
"3524",2017-05-18,"Citywide","Respiratory",201,595,167,322,1285,322,201,"Thursday",2016,2016-07-01,321
"3531",2017-05-19,"Citywide","Respiratory",178,576,143,314,1211,314,178,"Friday",2016,2016-07-01,322
"3538",2017-05-20,"Citywide","Respiratory",209,478,110,223,1020,223,209,"Saturday",2016,2016-07-01,323
"3545",2017-05-21,"Citywide","Respiratory",220,536,155,220,1131,220,220,"Sunday",2016,2016-07-01,324
"3552",2017-05-22,"Citywide","Respiratory",189,757,170,339,1455,339,189,"Monday",2016,2016-07-01,325
"3559",2017-05-23,"Citywide","Respiratory",203,584,197,280,1264,280,203,"Tuesday",2016,2016-07-01,326
"3566",2017-05-24,"Citywide","Respiratory",179,617,119,291,1206,291,179,"Wednesday",2016,2016-07-01,327
"3573",2017-05-25,"Citywide","Respiratory",184,585,126,271,1166,271,184,"Thursday",2016,2016-07-01,328
"3580",2017-05-26,"Citywide","Respiratory",189,562,137,305,1193,305,189,"Friday",2016,2016-07-01,329
"3587",2017-05-27,"Citywide","Respiratory",190,525,113,258,1086,258,190,"Saturday",2016,2016-07-01,330
"3594",2017-05-28,"Citywide","Respiratory",220,502,120,233,1075,233,220,"Sunday",2016,2016-07-01,331
"3601",2017-05-29,"Citywide","Respiratory",212,590,154,279,1235,279,212,"Monday",2016,2016-07-01,332
"3608",2017-05-30,"Citywide","Respiratory",194,668,153,313,1328,313,194,"Tuesday",2016,2016-07-01,333
"3615",2017-05-31,"Citywide","Respiratory",178,643,132,315,1268,315,178,"Wednesday",2016,2016-07-01,334
"3622",2017-06-01,"Citywide","Respiratory",150,582,118,275,1125,275,150,"Thursday",2016,2016-07-01,335
"3629",2017-06-02,"Citywide","Respiratory",168,578,101,300,1147,300,168,"Friday",2016,2016-07-01,336
"3636",2017-06-03,"Citywide","Respiratory",164,535,108,273,1080,273,164,"Saturday",2016,2016-07-01,337
"3643",2017-06-04,"Citywide","Respiratory",197,486,123,256,1062,256,197,"Sunday",2016,2016-07-01,338
"3650",2017-06-05,"Citywide","Respiratory",175,725,160,403,1463,403,175,"Monday",2016,2016-07-01,339
"3657",2017-06-06,"Citywide","Respiratory",171,690,116,290,1267,290,171,"Tuesday",2016,2016-07-01,340
"3664",2017-06-07,"Citywide","Respiratory",150,548,103,306,1107,306,150,"Wednesday",2016,2016-07-01,341
"3671",2017-06-08,"Citywide","Respiratory",141,485,104,251,981,251,141,"Thursday",2016,2016-07-01,342
"3678",2017-06-09,"Citywide","Respiratory",147,570,106,273,1096,273,147,"Friday",2016,2016-07-01,343
"3685",2017-06-10,"Citywide","Respiratory",142,447,85,244,918,244,142,"Saturday",2016,2016-07-01,344
"3692",2017-06-11,"Citywide","Respiratory",174,518,119,255,1066,255,174,"Sunday",2016,2016-07-01,345
"3699",2017-06-12,"Citywide","Respiratory",185,589,114,331,1219,331,185,"Monday",2016,2016-07-01,346
"3706",2017-06-13,"Citywide","Respiratory",159,573,134,298,1164,298,159,"Tuesday",2016,2016-07-01,347
"3713",2017-06-14,"Citywide","Respiratory",155,553,111,264,1083,264,155,"Wednesday",2016,2016-07-01,348
"3720",2017-06-15,"Citywide","Respiratory",155,503,89,263,1010,263,155,"Thursday",2016,2016-07-01,349
"3727",2017-06-16,"Citywide","Respiratory",170,561,75,272,1078,272,170,"Friday",2016,2016-07-01,350
"3734",2017-06-17,"Citywide","Respiratory",155,467,88,238,948,238,155,"Saturday",2016,2016-07-01,351
"3741",2017-06-18,"Citywide","Respiratory",172,443,96,225,936,225,172,"Sunday",2016,2016-07-01,352
"3748",2017-06-19,"Citywide","Respiratory",166,600,103,333,1202,333,166,"Monday",2016,2016-07-01,353
"3755",2017-06-20,"Citywide","Respiratory",129,546,86,277,1038,277,129,"Tuesday",2016,2016-07-01,354
"3762",2017-06-21,"Citywide","Respiratory",151,500,90,259,1000,259,151,"Wednesday",2016,2016-07-01,355
"3769",2017-06-22,"Citywide","Respiratory",119,465,70,220,874,220,119,"Thursday",2016,2016-07-01,356
"3776",2017-06-23,"Citywide","Respiratory",115,546,93,262,1016,262,115,"Friday",2016,2016-07-01,357
"3783",2017-06-24,"Citywide","Respiratory",123,432,84,199,838,199,123,"Saturday",2016,2016-07-01,358
"3790",2017-06-25,"Citywide","Respiratory",170,437,87,189,883,189,170,"Sunday",2016,2016-07-01,359
"3797",2017-06-26,"Citywide","Respiratory",162,527,86,265,1040,265,162,"Monday",2016,2016-07-01,360
"3804",2017-06-27,"Citywide","Respiratory",135,574,104,241,1054,241,135,"Tuesday",2016,2016-07-01,361
"3811",2017-06-28,"Citywide","Respiratory",134,517,83,245,979,245,134,"Wednesday",2016,2016-07-01,362
"3818",2017-06-29,"Citywide","Respiratory",134,467,64,251,916,251,134,"Thursday",2016,2016-07-01,363
"3825",2017-06-30,"Citywide","Respiratory",136,484,76,255,951,255,136,"Friday",2016,2016-07-01,364
"3832",2017-07-01,"Citywide","Respiratory",137,420,75,206,838,206,137,"Saturday",2017,2017-07-01,0
"3839",2017-07-02,"Citywide","Respiratory",139,399,82,194,814,194,139,"Sunday",2017,2017-07-01,1
"3846",2017-07-03,"Citywide","Respiratory",144,550,82,260,1036,260,144,"Monday",2017,2017-07-01,2
"3853",2017-07-04,"Citywide","Respiratory",144,436,51,199,830,199,144,"Tuesday",2017,2017-07-01,3
"3860",2017-07-05,"Citywide","Respiratory",161,502,72,243,978,243,161,"Wednesday",2017,2017-07-01,4
"3867",2017-07-06,"Citywide","Respiratory",127,478,80,237,922,237,127,"Thursday",2017,2017-07-01,5
"3874",2017-07-07,"Citywide","Respiratory",124,455,55,237,871,237,124,"Friday",2017,2017-07-01,6
"3881",2017-07-08,"Citywide","Respiratory",93,466,61,223,843,223,93,"Saturday",2017,2017-07-01,7
"3888",2017-07-09,"Citywide","Respiratory",145,457,62,225,889,225,145,"Sunday",2017,2017-07-01,8
"3895",2017-07-10,"Citywide","Respiratory",132,556,66,290,1044,290,132,"Monday",2017,2017-07-01,9
"3902",2017-07-11,"Citywide","Respiratory",107,519,71,255,952,255,107,"Tuesday",2017,2017-07-01,10
"3909",2017-07-12,"Citywide","Respiratory",97,484,51,229,861,229,97,"Wednesday",2017,2017-07-01,11
"3916",2017-07-13,"Citywide","Respiratory",125,469,58,256,908,256,125,"Thursday",2017,2017-07-01,12
"3923",2017-07-14,"Citywide","Respiratory",108,478,35,210,831,210,108,"Friday",2017,2017-07-01,13
"3930",2017-07-15,"Citywide","Respiratory",100,391,49,229,769,229,100,"Saturday",2017,2017-07-01,14
"3937",2017-07-16,"Citywide","Respiratory",115,390,64,184,753,184,115,"Sunday",2017,2017-07-01,15
"3944",2017-07-17,"Citywide","Respiratory",134,557,70,264,1025,264,134,"Monday",2017,2017-07-01,16
"3951",2017-07-18,"Citywide","Respiratory",115,475,48,254,892,254,115,"Tuesday",2017,2017-07-01,17
"3958",2017-07-19,"Citywide","Respiratory",94,471,47,230,842,230,94,"Wednesday",2017,2017-07-01,18
"3965",2017-07-20,"Citywide","Respiratory",95,492,52,215,854,215,95,"Thursday",2017,2017-07-01,19
"3972",2017-07-21,"Citywide","Respiratory",97,400,61,232,790,232,97,"Friday",2017,2017-07-01,20
"3979",2017-07-22,"Citywide","Respiratory",103,414,51,164,732,164,103,"Saturday",2017,2017-07-01,21
"3986",2017-07-23,"Citywide","Respiratory",130,377,71,204,782,204,130,"Sunday",2017,2017-07-01,22
"3993",2017-07-24,"Citywide","Respiratory",119,535,59,258,971,258,119,"Monday",2017,2017-07-01,23
"4000",2017-07-25,"Citywide","Respiratory",105,488,44,229,866,229,105,"Tuesday",2017,2017-07-01,24
"4007",2017-07-26,"Citywide","Respiratory",97,456,53,252,858,252,97,"Wednesday",2017,2017-07-01,25
"4014",2017-07-27,"Citywide","Respiratory",91,471,54,265,881,265,91,"Thursday",2017,2017-07-01,26
"4021",2017-07-28,"Citywide","Respiratory",122,459,57,223,861,223,122,"Friday",2017,2017-07-01,27
"4028",2017-07-29,"Citywide","Respiratory",130,372,57,189,748,189,130,"Saturday",2017,2017-07-01,28
"4035",2017-07-30,"Citywide","Respiratory",117,326,48,182,673,182,117,"Sunday",2017,2017-07-01,29
"4042",2017-07-31,"Citywide","Respiratory",120,464,55,265,904,265,120,"Monday",2017,2017-07-01,30
"4049",2017-08-01,"Citywide","Respiratory",110,481,68,231,890,231,110,"Tuesday",2017,2017-07-01,31
"4056",2017-08-02,"Citywide","Respiratory",118,464,72,222,876,222,118,"Wednesday",2017,2017-07-01,32
"4063",2017-08-03,"Citywide","Respiratory",121,480,44,227,872,227,121,"Thursday",2017,2017-07-01,33
"4070",2017-08-04,"Citywide","Respiratory",90,440,37,249,816,249,90,"Friday",2017,2017-07-01,34
"4077",2017-08-05,"Citywide","Respiratory",106,362,47,176,691,176,106,"Saturday",2017,2017-07-01,35
"4084",2017-08-06,"Citywide","Respiratory",123,450,52,184,809,184,123,"Sunday",2017,2017-07-01,36
"4091",2017-08-07,"Citywide","Respiratory",103,524,57,249,933,249,103,"Monday",2017,2017-07-01,37
"4098",2017-08-08,"Citywide","Respiratory",105,469,57,208,839,208,105,"Tuesday",2017,2017-07-01,38
"4105",2017-08-09,"Citywide","Respiratory",102,501,49,224,876,224,102,"Wednesday",2017,2017-07-01,39
"4112",2017-08-10,"Citywide","Respiratory",121,498,74,258,951,258,121,"Thursday",2017,2017-07-01,40
"4119",2017-08-11,"Citywide","Respiratory",101,423,63,233,820,233,101,"Friday",2017,2017-07-01,41
"4126",2017-08-12,"Citywide","Respiratory",119,389,50,203,761,203,119,"Saturday",2017,2017-07-01,42
"4133",2017-08-13,"Citywide","Respiratory",105,419,60,213,797,213,105,"Sunday",2017,2017-07-01,43
"4140",2017-08-14,"Citywide","Respiratory",122,612,70,285,1089,285,122,"Monday",2017,2017-07-01,44
"4147",2017-08-15,"Citywide","Respiratory",93,557,49,268,967,268,93,"Tuesday",2017,2017-07-01,45
"4154",2017-08-16,"Citywide","Respiratory",110,486,58,229,883,229,110,"Wednesday",2017,2017-07-01,46
"4161",2017-08-17,"Citywide","Respiratory",112,454,55,257,878,257,112,"Thursday",2017,2017-07-01,47
"4168",2017-08-18,"Citywide","Respiratory",80,433,54,238,805,238,80,"Friday",2017,2017-07-01,48
"4175",2017-08-19,"Citywide","Respiratory",104,447,60,201,812,201,104,"Saturday",2017,2017-07-01,49
"4182",2017-08-20,"Citywide","Respiratory",147,459,66,209,881,209,147,"Sunday",2017,2017-07-01,50
"4189",2017-08-21,"Citywide","Respiratory",118,597,71,250,1036,250,118,"Monday",2017,2017-07-01,51
"4196",2017-08-22,"Citywide","Respiratory",115,573,52,258,998,258,115,"Tuesday",2017,2017-07-01,52
"4203",2017-08-23,"Citywide","Respiratory",128,557,42,235,962,235,128,"Wednesday",2017,2017-07-01,53
"4210",2017-08-24,"Citywide","Respiratory",117,460,62,230,869,230,117,"Thursday",2017,2017-07-01,54
"4217",2017-08-25,"Citywide","Respiratory",98,503,60,241,902,241,98,"Friday",2017,2017-07-01,55
"4224",2017-08-26,"Citywide","Respiratory",110,376,50,198,734,198,110,"Saturday",2017,2017-07-01,56
"4231",2017-08-27,"Citywide","Respiratory",133,450,53,182,818,182,133,"Sunday",2017,2017-07-01,57
"4238",2017-08-28,"Citywide","Respiratory",127,583,77,256,1043,256,127,"Monday",2017,2017-07-01,58
"4245",2017-08-29,"Citywide","Respiratory",105,544,61,243,953,243,105,"Tuesday",2017,2017-07-01,59
"4252",2017-08-30,"Citywide","Respiratory",104,471,51,245,871,245,104,"Wednesday",2017,2017-07-01,60
"4259",2017-08-31,"Citywide","Respiratory",100,482,55,239,876,239,100,"Thursday",2017,2017-07-01,61
"4266",2017-09-01,"Citywide","Respiratory",102,430,58,222,812,222,102,"Friday",2017,2017-07-01,62
"4273",2017-09-02,"Citywide","Respiratory",102,426,56,188,772,188,102,"Saturday",2017,2017-07-01,63
"4280",2017-09-03,"Citywide","Respiratory",122,443,49,213,827,213,122,"Sunday",2017,2017-07-01,64
"4287",2017-09-04,"Citywide","Respiratory",138,466,95,246,945,246,138,"Monday",2017,2017-07-01,65
"4294",2017-09-05,"Citywide","Respiratory",109,605,59,278,1051,278,109,"Tuesday",2017,2017-07-01,66
"4301",2017-09-06,"Citywide","Respiratory",90,497,58,246,891,246,90,"Wednesday",2017,2017-07-01,67
"4308",2017-09-07,"Citywide","Respiratory",107,582,70,252,1011,252,107,"Thursday",2017,2017-07-01,68
"4315",2017-09-08,"Citywide","Respiratory",92,517,47,241,897,241,92,"Friday",2017,2017-07-01,69
"4322",2017-09-09,"Citywide","Respiratory",141,497,63,200,901,200,141,"Saturday",2017,2017-07-01,70
"4329",2017-09-10,"Citywide","Respiratory",136,521,75,210,942,210,136,"Sunday",2017,2017-07-01,71
"4336",2017-09-11,"Citywide","Respiratory",121,637,103,277,1138,277,121,"Monday",2017,2017-07-01,72
"4343",2017-09-12,"Citywide","Respiratory",107,560,119,298,1084,298,107,"Tuesday",2017,2017-07-01,73
"4350",2017-09-13,"Citywide","Respiratory",127,558,101,251,1037,251,127,"Wednesday",2017,2017-07-01,74
"4357",2017-09-14,"Citywide","Respiratory",147,596,129,296,1168,296,147,"Thursday",2017,2017-07-01,75
"4364",2017-09-15,"Citywide","Respiratory",159,549,118,323,1149,323,159,"Friday",2017,2017-07-01,76
"4371",2017-09-16,"Citywide","Respiratory",161,471,116,248,996,248,161,"Saturday",2017,2017-07-01,77
"4378",2017-09-17,"Citywide","Respiratory",218,472,165,211,1066,211,218,"Sunday",2017,2017-07-01,78
"4385",2017-09-18,"Citywide","Respiratory",222,657,208,286,1373,286,222,"Monday",2017,2017-07-01,79
"4392",2017-09-19,"Citywide","Respiratory",192,591,168,264,1215,264,192,"Tuesday",2017,2017-07-01,80
"4399",2017-09-20,"Citywide","Respiratory",164,621,142,238,1165,238,164,"Wednesday",2017,2017-07-01,81
"4406",2017-09-21,"Citywide","Respiratory",179,596,92,283,1150,283,179,"Thursday",2017,2017-07-01,82
"4413",2017-09-22,"Citywide","Respiratory",175,564,123,291,1153,291,175,"Friday",2017,2017-07-01,83
"4420",2017-09-23,"Citywide","Respiratory",223,473,161,222,1079,222,223,"Saturday",2017,2017-07-01,84
"4427",2017-09-24,"Citywide","Respiratory",201,514,129,247,1091,247,201,"Sunday",2017,2017-07-01,85
"4434",2017-09-25,"Citywide","Respiratory",208,688,181,315,1392,315,208,"Monday",2017,2017-07-01,86
"4441",2017-09-26,"Citywide","Respiratory",190,623,157,274,1244,274,190,"Tuesday",2017,2017-07-01,87
"4448",2017-09-27,"Citywide","Respiratory",178,569,125,253,1125,253,178,"Wednesday",2017,2017-07-01,88
"4455",2017-09-28,"Citywide","Respiratory",162,571,103,257,1093,257,162,"Thursday",2017,2017-07-01,89
"4462",2017-09-29,"Citywide","Respiratory",157,495,89,240,981,240,157,"Friday",2017,2017-07-01,90
"4469",2017-09-30,"Citywide","Respiratory",183,457,81,201,922,201,183,"Saturday",2017,2017-07-01,91
"4476",2017-10-01,"Citywide","Respiratory",163,491,104,198,956,198,163,"Sunday",2017,2017-07-01,92
"4483",2017-10-02,"Citywide","Respiratory",189,646,162,294,1291,294,189,"Monday",2017,2017-07-01,93
"4490",2017-10-03,"Citywide","Respiratory",186,571,147,257,1161,257,186,"Tuesday",2017,2017-07-01,94
"4497",2017-10-04,"Citywide","Respiratory",158,615,130,245,1148,245,158,"Wednesday",2017,2017-07-01,95
"4504",2017-10-05,"Citywide","Respiratory",177,576,87,266,1106,266,177,"Thursday",2017,2017-07-01,96
"4511",2017-10-06,"Citywide","Respiratory",189,542,136,235,1102,235,189,"Friday",2017,2017-07-01,97
"4518",2017-10-07,"Citywide","Respiratory",179,481,97,219,976,219,179,"Saturday",2017,2017-07-01,98
"4525",2017-10-08,"Citywide","Respiratory",215,460,129,231,1035,231,215,"Sunday",2017,2017-07-01,99
"4532",2017-10-09,"Citywide","Respiratory",205,624,121,262,1212,262,205,"Monday",2017,2017-07-01,100
"4539",2017-10-10,"Citywide","Respiratory",206,614,152,277,1249,277,206,"Tuesday",2017,2017-07-01,101
"4546",2017-10-11,"Citywide","Respiratory",197,579,142,240,1158,240,197,"Wednesday",2017,2017-07-01,102
"4553",2017-10-12,"Citywide","Respiratory",190,604,114,244,1152,244,190,"Thursday",2017,2017-07-01,103
"4560",2017-10-13,"Citywide","Respiratory",178,556,109,235,1078,235,178,"Friday",2017,2017-07-01,104
"4567",2017-10-14,"Citywide","Respiratory",176,455,89,223,943,223,176,"Saturday",2017,2017-07-01,105
"4574",2017-10-15,"Citywide","Respiratory",226,456,108,233,1023,233,226,"Sunday",2017,2017-07-01,106
"4581",2017-10-16,"Citywide","Respiratory",178,583,160,298,1219,298,178,"Monday",2017,2017-07-01,107
"4588",2017-10-17,"Citywide","Respiratory",167,551,145,296,1159,296,167,"Tuesday",2017,2017-07-01,108
"4595",2017-10-18,"Citywide","Respiratory",194,558,132,239,1123,239,194,"Wednesday",2017,2017-07-01,109
"4602",2017-10-19,"Citywide","Respiratory",215,578,134,279,1206,279,215,"Thursday",2017,2017-07-01,110
"4609",2017-10-20,"Citywide","Respiratory",196,496,139,260,1091,260,196,"Friday",2017,2017-07-01,111
"4616",2017-10-21,"Citywide","Respiratory",214,523,148,263,1148,263,214,"Saturday",2017,2017-07-01,112
"4623",2017-10-22,"Citywide","Respiratory",235,495,159,260,1149,260,235,"Sunday",2017,2017-07-01,113
"4630",2017-10-23,"Citywide","Respiratory",299,691,215,281,1486,281,299,"Monday",2017,2017-07-01,114
"4637",2017-10-24,"Citywide","Respiratory",231,593,189,281,1294,281,231,"Tuesday",2017,2017-07-01,115
"4644",2017-10-25,"Citywide","Respiratory",280,589,170,292,1331,292,280,"Wednesday",2017,2017-07-01,116
"4651",2017-10-26,"Citywide","Respiratory",230,579,128,285,1222,285,230,"Thursday",2017,2017-07-01,117
"4658",2017-10-27,"Citywide","Respiratory",228,530,133,278,1169,278,228,"Friday",2017,2017-07-01,118
"4665",2017-10-28,"Citywide","Respiratory",242,491,134,233,1100,233,242,"Saturday",2017,2017-07-01,119
"4672",2017-10-29,"Citywide","Respiratory",268,452,137,228,1085,228,268,"Sunday",2017,2017-07-01,120
"4679",2017-10-30,"Citywide","Respiratory",287,612,182,282,1363,282,287,"Monday",2017,2017-07-01,121
"4686",2017-10-31,"Citywide","Respiratory",233,528,160,272,1193,272,233,"Tuesday",2017,2017-07-01,122
"4693",2017-11-01,"Citywide","Respiratory",283,539,211,268,1301,268,283,"Wednesday",2017,2017-07-01,123
"4700",2017-11-02,"Citywide","Respiratory",288,636,201,261,1386,261,288,"Thursday",2017,2017-07-01,124
"4707",2017-11-03,"Citywide","Respiratory",193,874,130,205,1402,205,193,"Friday",2017,2017-07-01,125
"4714",2017-11-04,"Citywide","Respiratory",258,537,124,219,1138,219,258,"Saturday",2017,2017-07-01,126
"4721",2017-11-05,"Citywide","Respiratory",291,561,200,224,1276,224,291,"Sunday",2017,2017-07-01,127
"4728",2017-11-06,"Citywide","Respiratory",302,776,192,274,1544,274,302,"Monday",2017,2017-07-01,128
"4735",2017-11-07,"Citywide","Respiratory",227,665,138,235,1265,235,227,"Tuesday",2017,2017-07-01,129
"4742",2017-11-08,"Citywide","Respiratory",237,770,187,231,1425,231,237,"Wednesday",2017,2017-07-01,130
"4749",2017-11-09,"Citywide","Respiratory",175,948,123,155,1401,155,175,"Thursday",2017,2017-07-01,131
"4756",2017-11-10,"Citywide","Respiratory",242,653,142,222,1259,222,242,"Friday",2017,2017-07-01,132
"4763",2017-11-11,"Citywide","Respiratory",304,492,140,229,1165,229,304,"Saturday",2017,2017-07-01,133
"4770",2017-11-12,"Citywide","Respiratory",362,494,192,229,1277,229,362,"Sunday",2017,2017-07-01,134
"4777",2017-11-13,"Citywide","Respiratory",369,668,241,289,1567,289,369,"Monday",2017,2017-07-01,135
"4784",2017-11-14,"Citywide","Respiratory",346,613,227,298,1484,298,346,"Tuesday",2017,2017-07-01,136
"4791",2017-11-15,"Citywide","Respiratory",342,634,215,269,1460,269,342,"Wednesday",2017,2017-07-01,137
"4798",2017-11-16,"Citywide","Respiratory",312,596,176,258,1342,258,312,"Thursday",2017,2017-07-01,138
"4805",2017-11-17,"Citywide","Respiratory",319,580,149,270,1318,270,319,"Friday",2017,2017-07-01,139
"4812",2017-11-18,"Citywide","Respiratory",327,588,160,252,1327,252,327,"Saturday",2017,2017-07-01,140
"4819",2017-11-19,"Citywide","Respiratory",397,484,166,231,1278,231,397,"Sunday",2017,2017-07-01,141
"4826",2017-11-20,"Citywide","Respiratory",366,690,207,316,1579,316,366,"Monday",2017,2017-07-01,142
"4833",2017-11-21,"Citywide","Respiratory",353,641,212,231,1437,231,353,"Tuesday",2017,2017-07-01,143
"4840",2017-11-22,"Citywide","Respiratory",318,572,168,273,1331,273,318,"Wednesday",2017,2017-07-01,144
"4847",2017-11-23,"Citywide","Respiratory",294,378,129,202,1003,202,294,"Thursday",2017,2017-07-01,145
"4854",2017-11-24,"Citywide","Respiratory",447,618,162,328,1555,328,447,"Friday",2017,2017-07-01,146
"4861",2017-11-25,"Citywide","Respiratory",337,717,181,250,1485,250,337,"Saturday",2017,2017-07-01,147
"4868",2017-11-26,"Citywide","Respiratory",407,629,226,284,1546,284,407,"Sunday",2017,2017-07-01,148
"4875",2017-11-27,"Citywide","Respiratory",394,845,255,321,1815,321,394,"Monday",2017,2017-07-01,149
"4882",2017-11-28,"Citywide","Respiratory",369,804,228,324,1725,324,369,"Tuesday",2017,2017-07-01,150
"4889",2017-11-29,"Citywide","Respiratory",337,740,198,315,1590,315,337,"Wednesday",2017,2017-07-01,151
"4896",2017-11-30,"Citywide","Respiratory",325,599,159,303,1386,303,325,"Thursday",2017,2017-07-01,152
"4903",2017-12-01,"Citywide","Respiratory",270,619,140,259,1288,259,270,"Friday",2017,2017-07-01,153
"4910",2017-12-02,"Citywide","Respiratory",347,554,168,255,1324,255,347,"Saturday",2017,2017-07-01,154
"4917",2017-12-03,"Citywide","Respiratory",389,567,231,233,1420,233,389,"Sunday",2017,2017-07-01,155
"4924",2017-12-04,"Citywide","Respiratory",417,817,275,333,1842,333,417,"Monday",2017,2017-07-01,156
"4931",2017-12-05,"Citywide","Respiratory",333,765,209,328,1635,328,333,"Tuesday",2017,2017-07-01,157
"4938",2017-12-06,"Citywide","Respiratory",354,679,244,305,1582,305,354,"Wednesday",2017,2017-07-01,158
"4945",2017-12-07,"Citywide","Respiratory",356,640,233,337,1566,337,356,"Thursday",2017,2017-07-01,159
"4952",2017-12-08,"Citywide","Respiratory",310,613,162,326,1411,326,310,"Friday",2017,2017-07-01,160
"4959",2017-12-09,"Citywide","Respiratory",290,464,156,227,1137,227,290,"Saturday",2017,2017-07-01,161
"4966",2017-12-10,"Citywide","Respiratory",386,542,227,249,1404,249,386,"Sunday",2017,2017-07-01,162
"4973",2017-12-11,"Citywide","Respiratory",408,731,279,332,1750,332,408,"Monday",2017,2017-07-01,163
"4980",2017-12-12,"Citywide","Respiratory",410,684,273,332,1699,332,410,"Tuesday",2017,2017-07-01,164
"4987",2017-12-13,"Citywide","Respiratory",275,630,228,279,1412,279,275,"Wednesday",2017,2017-07-01,165
"4994",2017-12-14,"Citywide","Respiratory",294,646,191,288,1419,288,294,"Thursday",2017,2017-07-01,166
"5001",2017-12-15,"Citywide","Respiratory",336,589,196,281,1402,281,336,"Friday",2017,2017-07-01,167
"5008",2017-12-16,"Citywide","Respiratory",365,552,196,250,1363,250,365,"Saturday",2017,2017-07-01,168
"5015",2017-12-17,"Citywide","Respiratory",350,547,235,241,1373,241,350,"Sunday",2017,2017-07-01,169
"5022",2017-12-18,"Citywide","Respiratory",409,818,315,332,1874,332,409,"Monday",2017,2017-07-01,170
"5029",2017-12-19,"Citywide","Respiratory",376,756,290,328,1750,328,376,"Tuesday",2017,2017-07-01,171
"5036",2017-12-20,"Citywide","Respiratory",305,728,244,330,1607,330,305,"Wednesday",2017,2017-07-01,172
"5043",2017-12-21,"Citywide","Respiratory",312,668,250,325,1555,325,312,"Thursday",2017,2017-07-01,173
"5050",2017-12-22,"Citywide","Respiratory",346,653,182,302,1483,302,346,"Friday",2017,2017-07-01,174
"5057",2017-12-23,"Citywide","Respiratory",353,549,223,271,1396,271,353,"Saturday",2017,2017-07-01,175
"5064",2017-12-24,"Citywide","Respiratory",329,559,204,260,1352,260,329,"Sunday",2017,2017-07-01,176
"5071",2017-12-25,"Citywide","Respiratory",361,613,253,274,1501,274,361,"Monday",2017,2017-07-01,177
"5078",2017-12-26,"Citywide","Respiratory",383,862,280,445,1970,445,383,"Tuesday",2017,2017-07-01,178
"5085",2017-12-27,"Citywide","Respiratory",393,874,223,366,1856,366,393,"Wednesday",2017,2017-07-01,179
"5092",2017-12-28,"Citywide","Respiratory",332,824,194,316,1666,316,332,"Thursday",2017,2017-07-01,180
"5099",2017-12-29,"Citywide","Respiratory",338,778,210,337,1663,337,338,"Friday",2017,2017-07-01,181
"5106",2017-12-30,"Citywide","Respiratory",384,738,171,316,1609,316,384,"Saturday",2017,2017-07-01,182
"5113",2017-12-31,"Citywide","Respiratory",344,611,155,306,1416,306,344,"Sunday",2017,2017-07-01,183
"5120",2018-01-01,"Citywide","Respiratory",383,739,186,329,1637,329,383,"Monday",2017,2017-07-01,184
"5127",2018-01-02,"Citywide","Respiratory",393,1061,242,447,2143,447,393,"Tuesday",2017,2017-07-01,185
"5134",2018-01-03,"Citywide","Respiratory",339,991,221,446,1997,446,339,"Wednesday",2017,2017-07-01,186
"5141",2018-01-04,"Citywide","Respiratory",213,582,77,247,1119,247,213,"Thursday",2017,2017-07-01,187
"5148",2018-01-05,"Citywide","Respiratory",279,868,128,373,1648,373,279,"Friday",2017,2017-07-01,188
"5155",2018-01-06,"Citywide","Respiratory",275,801,126,337,1539,337,275,"Saturday",2017,2017-07-01,189
"5162",2018-01-07,"Citywide","Respiratory",339,912,137,348,1736,348,339,"Sunday",2017,2017-07-01,190
"5169",2018-01-08,"Citywide","Respiratory",282,1060,192,482,2016,482,282,"Monday",2017,2017-07-01,191
"5176",2018-01-09,"Citywide","Respiratory",286,1024,199,442,1951,442,286,"Tuesday",2017,2017-07-01,192
"5183",2018-01-10,"Citywide","Respiratory",263,916,207,423,1809,423,263,"Wednesday",2017,2017-07-01,193
"5190",2018-01-11,"Citywide","Respiratory",276,1010,193,465,1944,465,276,"Thursday",2017,2017-07-01,194
"5197",2018-01-12,"Citywide","Respiratory",250,947,194,434,1825,434,250,"Friday",2017,2017-07-01,195
"5204",2018-01-13,"Citywide","Respiratory",282,810,161,371,1624,371,282,"Saturday",2017,2017-07-01,196
"5211",2018-01-14,"Citywide","Respiratory",306,788,239,334,1667,334,306,"Sunday",2017,2017-07-01,197
"5218",2018-01-15,"Citywide","Respiratory",336,913,277,387,1913,387,336,"Monday",2017,2017-07-01,198
"5225",2018-01-16,"Citywide","Respiratory",337,995,361,421,2114,421,337,"Tuesday",2017,2017-07-01,199
"5232",2018-01-17,"Citywide","Respiratory",299,939,292,365,1895,365,299,"Wednesday",2017,2017-07-01,200
